job,structure,environment,batch,kind,resin,pfas,pose,charge,multiplicity,atoms,cpus,mem_gb,gaussian_mem_gb,hours,pilot,input_dir
PC4P-Me_PFNA_head_tangential__water,PC4P-Me_PFNA_head_tangential,water,2,complex,PC4P-Me,PFNA,head_tangential,0,1,105,8,64,48,48,0,inputs/water/PC4P-Me_PFNA_head_tangential
PC4P-Me_PFNA_head_tangential__unsolvated,PC4P-Me_PFNA_head_tangential,unsolvated,2,complex,PC4P-Me,PFNA,head_tangential,0,1,105,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFNA_head_tangential
PC4P-Me_PFNA_alternate_oxygen__water,PC4P-Me_PFNA_alternate_oxygen,water,2,complex,PC4P-Me,PFNA,alternate_oxygen,0,1,105,8,64,48,48,0,inputs/water/PC4P-Me_PFNA_alternate_oxygen
PC4P-Me_PFNA_alternate_oxygen__unsolvated,PC4P-Me_PFNA_alternate_oxygen,unsolvated,2,complex,PC4P-Me,PFNA,alternate_oxygen,0,1,105,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFNA_alternate_oxygen
PC4P-Me_PFOS_head_axial__water,PC4P-Me_PFOS_head_axial,water,2,complex,PC4P-Me,PFOS,head_axial,0,1,106,8,64,48,48,0,inputs/water/PC4P-Me_PFOS_head_axial
PC4P-Me_PFOS_head_axial__unsolvated,PC4P-Me_PFOS_head_axial,unsolvated,2,complex,PC4P-Me,PFOS,head_axial,0,1,106,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFOS_head_axial
PC4P-Me_PFOS_head_tangential__water,PC4P-Me_PFOS_head_tangential,water,2,complex,PC4P-Me,PFOS,head_tangential,0,1,106,8,64,48,48,0,inputs/water/PC4P-Me_PFOS_head_tangential
PC4P-Me_PFOS_head_tangential__unsolvated,PC4P-Me_PFOS_head_tangential,unsolvated,2,complex,PC4P-Me,PFOS,head_tangential,0,1,106,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFOS_head_tangential
PC4P-Me_PFOS_alternate_oxygen__water,PC4P-Me_PFOS_alternate_oxygen,water,2,complex,PC4P-Me,PFOS,alternate_oxygen,0,1,106,8,64,48,48,0,inputs/water/PC4P-Me_PFOS_alternate_oxygen
PC4P-Me_PFOS_alternate_oxygen__unsolvated,PC4P-Me_PFOS_alternate_oxygen,unsolvated,2,complex,PC4P-Me,PFOS,alternate_oxygen,0,1,106,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFOS_alternate_oxygen
PCy3_Cl__water,PCy3_Cl,water,2,counterion,PCy3,,,0,1,67,8,64,48,48,0,inputs/water/PCy3_Cl
PCy3_Cl__unsolvated,PCy3_Cl,unsolvated,2,counterion,PCy3,,,0,1,67,8,64,48,48,0,inputs/unsolvated/PCy3_Cl
PCy3_PFBA_head_axial__water,PCy3_PFBA_head_axial,water,2,complex,PCy3,PFBA,head_axial,0,1,79,8,64,48,48,0,inputs/water/PCy3_PFBA_head_axial
PCy3_PFBA_head_axial__unsolvated,PCy3_PFBA_head_axial,unsolvated,2,complex,PCy3,PFBA,head_axial,0,1,79,8,64,48,48,0,inputs/unsolvated/PCy3_PFBA_head_axial
PCy3_PFBA_head_tangential__water,PCy3_PFBA_head_tangential,water,2,complex,PCy3,PFBA,head_tangential,0,1,79,8,64,48,48,0,inputs/water/PCy3_PFBA_head_tangential
PCy3_PFBA_head_tangential__unsolvated,PCy3_PFBA_head_tangential,unsolvated,2,complex,PCy3,PFBA,head_tangential,0,1,79,8,64,48,48,0,inputs/unsolvated/PCy3_PFBA_head_tangential
PCy3_PFBA_alternate_oxygen__water,PCy3_PFBA_alternate_oxygen,water,2,complex,PCy3,PFBA,alternate_oxygen,0,1,79,8,64,48,48,0,inputs/water/PCy3_PFBA_alternate_oxygen
